pid,neighborhood,overall_qual,year_built,lot_area,gr_liv_area,total_bsmt_sf,full_bath,bedroom_abvgr,garage_cars,garage_type,kitchen_qual,bsmt_qual,saleprice,pricepersf
526301100,NAmes,6,1960,31770,1656,1080.0,1,3,2.0,Attchd,TA,TA,215000,129.83
526350040,NAmes,5,1961,11622,896,882.0,1,2,1.0,Attchd,TA,TA,105000,117.19
526351010,NAmes,6,1958,14267,1329,1329.0,1,3,1.0,Attchd,Gd,TA,172000,129.42
526353030,NAmes,7,1968,11160,2110,2110.0,2,3,2.0,Attchd,Ex,TA,244000,115.64
527105010,Gilbert,5,1997,13830,1629,928.0,2,3,2.0,Attchd,TA,Gd,189900,116.57
527105030,Gilbert,6,1998,9978,1604,926.0,2,3,2.0,Attchd,Gd,TA,195500,121.88
527127150,StoneBr,8,2001,4920,1338,1338.0,2,2,2.0,Attchd,Gd,Gd,213500,159.57
527145080,StoneBr,8,1992,5005,1280,1280.0,2,2,2.0,Attchd,Gd,Gd,191500,149.61
527146030,StoneBr,8,1995,5389,1616,1595.0,2,2,2.0,Attchd,Gd,Gd,236500,146.35
527162130,Gilbert,7,1999,7500,1804,994.0,2,3,2.0,Attchd,Gd,TA,189000,104.77
527163010,Gilbert,6,1993,10000,1655,763.0,2,3,2.0,Attchd,TA,Gd,175900,106.28
527165230,Gilbert,6,1992,7980,1187,1168.0,2,3,2.0,Attchd,TA,Gd,185000,155.86
527166040,Gilbert,6,1998,8402,1465,789.0,2,3,2.0,Attchd,TA,Gd,180400,123.14
527180040,Gilbert,7,1990,10176,1341,1300.0,1,2,2.0,Attchd,Gd,Gd,171500,127.89
527182190,StoneBr,8,1985,6820,1502,1488.0,1,1,2.0,Attchd,Gd,Gd,212000,141.15
527216070,StoneBr,8,2003,53504,3279,1650.0,3,4,3.0,BuiltIn,Ex,Gd,538000,164.07
527225035,Gilbert,8,1988,12134,1752,559.0,2,4,2.0,Basment,TA,Gd,164000,93.61
527258010,StoneBr,9,2010,11394,1856,1856.0,1,1,3.0,Attchd,Ex,Ex,394432,212.52
527276150,Gilbert,4,1951,19138,864,864.0,1,2,2.0,Detchd,TA,TA,141000,163.19
527302110,NWAmes,6,1978,13175,2073,1542.0,2,3,2.0,Attchd,TA,Gd,210000,101.3
527358140,NWAmes,6,1977,11751,1844,1844.0,2,3,2.0,Attchd,TA,Gd,190000,103.04
527358200,NWAmes,7,1974,10625,1173,1053.0,2,3,2.0,Attchd,Gd,Gd,170000,144.93
527368020,Somerst,7,2000,7500,1674,814.0,2,3,2.0,Attchd,Gd,Gd,216000,129.03
527402200,NAmes,6,1970,11241,1004,1004.0,1,2,2.0,Attchd,TA,TA,149000,148.41
527402250,NAmes,5,1971,12537,1078,1078.0,1,3,2.0,Attchd,TA,TA,149900,139.05
527403020,NAmes,5,1968,8450,1056,1056.0,1,3,1.0,Attchd,TA,TA,142000,134.47
527404120,NAmes,4,1970,8400,882,882.0,1,2,2.0,Attchd,TA,TA,126000,142.86
527425090,NAmes,4,1971,10500,864,864.0,1,3,0.0,,TA,TA,115000,133.1
527427230,NAmes,7,1999,5858,1337,1405.0,2,2,2.0,Attchd,Gd,Gd,184000,137.62
527451180,BrDale,6,1971,1680,987,483.0,1,2,1.0,Detchd,TA,TA,96000,97.26
527451330,BrDale,5,1971,1680,1092,525.0,1,3,1.0,Detchd,TA,TA,105500,96.61
527451410,BrDale,6,1971,1680,1092,525.0,1,3,1.0,Detchd,TA,TA,88000,80.59
527452190,NPkVill,6,1977,4043,1069,1069.0,2,2,2.0,Attchd,,Gd,127500,119.27
527453130,NPkVill,6,1975,2280,1456,855.0,2,3,2.0,Attchd,Gd,TA,149900,102.95
527453150,NPkVill,7,1975,2280,836,836.0,1,2,1.0,Attchd,TA,Gd,120000,143.54
527454200,NPkVill,6,1978,2280,1456,855.0,2,3,2.0,Attchd,TA,Gd,146000,100.27
528108120,NridgHt,9,2009,12858,2334,1590.0,2,3,3.0,Attchd,Ex,Ex,376162,161.17
528112020,NridgHt,8,2007,11478,1704,1704.0,2,3,3.0,Attchd,Gd,Ex,306000,179.58
528120060,NridgHt,9,2009,10159,1940,1930.0,2,3,3.0,Attchd,Ex,Ex,395192,203.71
528120090,NridgHt,8,2009,12883,1544,1544.0,2,3,3.0,Attchd,Gd,Gd,290941,188.43
528120100,NridgHt,7,2005,12182,1541,1541.0,2,3,2.0,Attchd,Gd,Gd,220000,142.76
528120120,NridgHt,9,2005,11520,1698,1698.0,2,3,3.0,Attchd,Ex,Ex,275000,161.96
528138020,NridgHt,8,2005,14122,1822,1822.0,2,3,3.0,Attchd,Ex,Ex,259000,142.15
528138060,NridgHt,7,2004,10171,1535,1517.0,2,3,2.0,Attchd,Gd,Gd,214000,139.41
528150070,NridgHt,9,2009,12919,2364,2330.0,2,2,3.0,Attchd,Ex,Ex,611657,258.74
528175010,NridgHt,7,2009,6371,1358,1358.0,2,2,2.0,Attchd,Gd,Gd,224000,164.95
528176010,NridgHt,9,2003,14300,2696,2846.0,2,3,3.0,Attchd,Ex,Ex,500000,185.46
528176070,NridgHt,8,2002,13650,2250,1671.0,2,3,3.0,Attchd,Gd,Gd,320000,142.22
528180070,NridgHt,9,2005,7658,1752,1752.0,2,2,2.0,Attchd,Ex,Ex,319900,182.59
528181050,NridgHt,8,2006,7132,1370,1370.0,2,2,2.0,Attchd,Gd,Gd,205000,149.64
528188120,NridgHt,7,2003,2628,1626,764.0,2,2,2.0,BuiltIn,Gd,Gd,175500,107.93
528218150,Gilbert,6,2005,18494,1324,1324.0,2,3,2.0,Attchd,Gd,Gd,199500,150.68
528228285,Blmngtn,7,2006,3203,1145,1145.0,2,2,2.0,Attchd,Gd,Gd,160000,139.74
528228440,Blmngtn,8,2004,3182,1269,1256.0,2,2,2.0,Attchd,Gd,Gd,192000,151.3
528231020,Gilbert,7,2004,13300,1374,384.0,2,3,2.0,BuiltIn,Gd,Gd,184500,134.28
528240070,Gilbert,6,2002,7851,1960,860.0,2,4,2.0,BuiltIn,Gd,Gd,216500,110.46
528240130,Gilbert,7,2004,8577,1733,847.0,2,3,2.0,BuiltIn,Gd,Gd,185088,106.8
528250100,Gilbert,7,2000,7750,1430,384.0,2,3,2.0,BuiltIn,TA,Gd,180000,125.87
528292020,Gilbert,7,2001,9505,2035,884.0,2,3,2.0,BuiltIn,Gd,Gd,222500,109.34
528328100,NoRidge,9,1999,14774,2599,1393.0,2,4,3.0,BuiltIn,Gd,Gd,333168,128.19
528344070,NoRidge,8,1998,17433,2475,1629.0,2,4,3.0,Attchd,Gd,Ex,355000,143.43
