customer_id,age,annual_income_k,tenure_months,monthly_orders,avg_basket_usd,discount_share,app_sessions_per_month,website_minutes_per_month,support_tickets_6m,returns_6m,days_since_last_order,delivery_distance_km,satisfaction_score,ad_exposure_score,account_balance_points,preferred_device,region,membership_tier,primary_category
100001,28.5,121.4,32.6,4.59,121.6,0.134,5,74.6,0,0,13.4,10.4,5,46.9,2216,desktop,West,basic,home
100002,40.1,68.4,21.6,7.73,22.75,0.578,10.8,53.9,1,0,19.5,9.3,5,51.5,1422,mobile,South,basic,beauty
100003,47.4,66.8,34.2,7.11,44.07,0.701,11.9,102.7,1,0,3.4,8.4,5,58.8,1447,mobile,South,basic,groceries
100004,35.3,33.9,8.4,7.22,28.45,0.247,13.9,83.4,2,1,13.8,1.3,5,45.5,1495,desktop,Midwest,plus,home
100005,54,49.2,34.1,5.22,125.21,0.15,5.4,56.7,1,1,24.9,10.4,5,47.2,3287,,West,premium,electronics
100006,32.9,124.5,49.5,6.48,106.15,0.225,3.7,82.3,2,3,24.7,2.9,,53.1,2554,mobile,South,basic,home
100007,40.4,46.1,17.4,8.35,41.28,0.733,12.2,50.4,0,1,6.3,6.5,,59.1,1336,desktop,Northeast,basic,groceries
100008,45.3,153.2,18.2,5.6,118.65,0.296,6.8,55,0,0,23.5,10.6,5,32.2,3182,desktop,South,premium,groceries
100009,44.5,79.7,21.8,3.92,78.31,0.458,8,72.1,3,2,4.4,5.5,4.65,56.9,1886,desktop,South,basic,home
100010,39,65.6,18.6,2.89,100.3,0.277,26,35.3,1,2,13.7,8.5,4.93,60.7,2547,mobile,Midwest,basic,home
100011,37.9,86.2,41.5,9.34,44.23,0.482,8.3,15.2,2,4,6.9,11.2,5,35.7,1958,mobile,Midwest,basic,home
100012,23.3,80.3,11.7,7.37,65.19,0.375,9.7,91.6,3,8,22.6,9.2,4.84,55.7,1867,mobile,West,basic,electronics
100013,27.8,78.8,2.5,12.64,64.7,0.597,11.6,53.3,1,1,7.6,11,5,49.5,2424,mobile,Midwest,premium,groceries
100014,54.4,106.1,42.6,4.8,108.99,0.115,7,76.1,1,2,12,12,5,53.9,2123,tablet,Northeast,basic,beauty
100015,49.5,115.3,42.2,5.15,118.63,0.346,4.2,74.5,1,1,20.2,12.7,5,31.1,2212,tablet,Midwest,plus,home
100016,36.9,,17.4,7.83,32.23,0.815,19.8,39.9,2,2,11.6,0.3,5,48.6,1364,mobile,South,basic,electronics
100017,49.9,134.4,37.3,6.62,104.62,0.146,9.5,74.6,1,3,23.1,3,,54.8,3089,,West,premium,electronics
100018,47.8,,27.8,6.03,80.13,0.187,8.5,99.1,3,4,23.9,15.8,5,60.6,2195,desktop,Northeast,premium,electronics
100019,31.5,118.4,21.7,2.58,91.84,0.027,6.8,27,1,2,13.6,9.1,5,62.9,2482,mobile,West,premium,beauty
100020,31.8,94.7,20.8,3.29,60.19,0.273,17.6,121.1,2,1,42.1,3.1,5,75.9,1612,tablet,South,premium,beauty
100021,25.7,88.9,10.5,3.65,70.8,0.212,11.6,99.1,1,1,22.7,6.5,4.97,60.9,1835,mobile,Midwest,basic,home
100022,51.9,76.6,45.1,6.54,17.9,0.631,6.4,,2,0,16.4,6,5,64.6,1384,mobile,West,basic,home
100023,39.2,59.2,24,5.81,40.21,0.368,15.3,68.9,2,1,5.6,2,5,65.8,1318,desktop,West,plus,
100024,48,61.6,1,5.6,52.34,0.471,7.6,35.2,2,0,0.2,11.8,5,47.8,1358,tablet,South,plus,groceries
100025,42.7,71.6,16.4,6.97,25.89,0.526,12.4,80.8,2,1,22.2,9,4.99,67.2,1392,desktop,South,basic,
100026,40.4,53.2,16.6,2.87,22.63,0.664,17.6,60.8,0,1,9.4,10,4.68,67.6,1653,mobile,West,premium,electronics
100027,31.7,52.8,20.7,7.55,37.19,0.618,5.6,48.3,1,2,16.1,12.5,4.52,48.7,1554,mobile,Midwest,plus,groceries
100028,45.3,,13.8,5.11,33.29,0.61,7,53,1,1,6.5,0.2,5,38.8,1335,mobile,South,plus,home
100029,55.8,89.2,2,6.23,99.66,0.093,2,81.2,1,1,2.4,7.6,5,37.4,2043,mobile,South,premium,electronics
100030,30.2,96.2,27,6.83,39.63,0.657,8.2,44,0,2,3.7,7.2,5,41.3,1120,desktop,West,basic,home
100031,59.8,92.2,28.4,5,58.34,0.593,16.4,73.5,2,5,2.2,13.9,3.82,65,1625,tablet,West,basic,groceries
100032,36.5,165.2,58.5,9.03,74.08,0.227,8.5,36.2,1,1,1.6,11.9,5,66.3,2675,mobile,Northeast,premium,home
100033,48.8,74.6,19.4,3.89,80.99,0,24.8,70.1,4,2,16,4.4,4.87,66.4,1920,mobile,West,basic,groceries
100034,25.5,88.9,16.2,4.18,59.71,0.108,13.7,101.8,3,2,17.6,13.4,4.97,57.1,1890,mobile,South,basic,groceries
100035,26.9,79.6,35.8,6.58,61.28,0.317,9.8,71.5,0,1,17.8,17.1,3.91,46.4,2080,mobile,South,basic,groceries
100036,27.4,70.2,31.7,4.87,53.83,0.115,12.6,34.1,1,1,0,7.4,5,49.3,1629,mobile,Northeast,plus,home
100037,45,132.8,40.7,4.31,126.47,0.058,1.9,69.7,2,3,13.3,5.4,4.97,41,2837,mobile,West,premium,beauty
100038,30.4,52.9,12.9,6.36,30.07,0.744,11.1,41.4,2,0,7.6,4.6,5,47.3,1588,mobile,South,plus,beauty
100039,22.6,111.4,15.5,2.99,92.88,0.265,8.2,56.9,1,2,22.3,10.5,5,48.8,1813,mobile,Midwest,plus,electronics
100040,57.8,89.1,30.6,9.63,68.54,0.249,2.6,45.7,3,0,12.4,7.6,5,57.8,2188,desktop,Northeast,basic,home
100041,23.9,102.2,8.4,3.93,84.64,0.385,17.7,46.9,2,1,14.2,5.1,5,75.7,2022,mobile,South,basic,home
100042,29.4,57.3,10.6,11.65,48.65,0.782,8.9,20.1,1,1,7,18.8,5,50.4,1919,desktop,West,basic,groceries
100043,35.2,61.5,22.2,8.87,36.53,0.717,21.2,50.7,4,3,20.9,0.2,5,64.5,1818,tablet,West,premium,electronics
100044,32.8,77.1,21.3,8.14,63.86,0.613,10.8,,0,2,13.5,4.9,5,57.2,1895,tablet,West,plus,beauty
100045,42.4,77.4,31.1,7.4,66.43,0.49,0.1,35.2,0,2,4.8,5.2,5,39.2,1876,desktop,West,plus,electronics
100046,38.2,96.2,46.4,5.78,85.12,0.059,4.3,64.7,0,1,14.4,11.8,5,59.4,2395,mobile,Northeast,premium,beauty
100047,32.4,66.4,30.9,4.25,26.9,0.691,9.9,25,1,0,0,4.8,5,39,1606,mobile,Midwest,plus,beauty
100048,34.9,91.5,11.3,5.62,29.43,0.548,11.7,62.2,4,0,28.3,2.3,4.26,57.4,1447,tablet,South,basic,groceries
100049,23.3,,34.3,4.6,82,0.16,6.1,56.3,2,0,17.6,11.5,5,54.7,1799,mobile,South,plus,beauty
100050,37.3,68.7,25,10.38,64.69,0.788,14.1,,3,2,0,20.5,5,52.4,2003,mobile,South,plus,electronics
100051,36.8,80.2,14.3,6.77,115.23,0,7.4,77.7,0,0,12.5,10.4,5,68.1,1421,mobile,West,basic,
100052,40.2,66,12.8,6.4,23.63,0.889,1.1,29,2,0,28.5,8.6,5,48,1179,mobile,Northeast,plus,beauty
100053,40.6,80.6,27.1,9.15,46.94,0.403,20.3,38.8,0,2,10.1,23.5,3.27,54,1711,desktop,Midwest,basic,electronics
