customer_id,engagement_score,billing_stability,tenure_months,avg_session_seconds,monthly_spend_usd,support_tickets_90d,late_payments_12m,marketing_emails_opened_30d,region,plan_type,primary_device,churned_next_month
2373,55.59471445511593,0.6713274964768169,14,308,57.770117786620474,1,1,3,Midwest,Basic,Tablet,1.0
165,57.438668353502976,0.716016083408799,25,161,57.62807121434513,1,0,1,Northeast,Standard,Desktop,0.0
1917,55.191799903989015,0.6882958848017602,31,335,66.35297880625299,1,1,5,Northeast,Standard,Mobile,0.0
2074,88.586482674008,0.4542686571967227,35,363,96.1991251917928,0,2,4,Northeast,Basic,Desktop,1.0
1656,54.71336286737899,0.7802858691768726,36,161,,2,1,0,Northeast,Basic,,1.0
2637,56.19156364307557,0.6485305471235876,29,186,42.37744206672145,2,2,1,Northeast,Pro,Mobile,1.0
2109,57.7138770700163,,19,380,26.889049680828258,1,2,1,Mountain,Basic,Mobile,1.0
361,68.44930336214335,0.6351493352787415,55,382,69.07218375405049,2,1,3,Northeast,Pro,,1.0
2381,51.51216577226886,0.7045628912657445,19,244,46.18151575571727,1,1,5,South,Basic,Desktop,1.0
2204,53.402611160743064,0.5280007417141093,34,246,,3,2,1,Mountain,Basic,Mobile,1.0
382,43.13549230041275,0.8654530284074962,20,133,72.99772615169687,1,0,2,Mountain,Basic,Mobile,0.0
69,40.26652153357932,0.5004260092677844,0,79,48.46076651529742,1,2,4,Mountain,Pro,Desktop,1.0
441,60.21488296247527,0.6119821043623977,17,208,27.44567413039681,0,0,6,Midwest,Basic,Desktop,0.0
162,26.71834867462402,0.6644304102633879,11,22,71.34509326498967,2,2,3,West,Pro,Mobile,0.0
1784,60.78650813051841,0.5250375829209963,26,294,55.91898380132873,3,1,3,Midwest,Standard,Mobile,1.0
423,61.52756254990346,0.5177903813783218,34,237,59.12944959262834,2,0,6,Northeast,Standard,Mobile,0.0
1707,63.92390849499551,0.6545013361859624,48,355,49.30416966566347,2,2,3,Mountain,Standard,,0.0
