risk_signal,process_temp,pressure_variation,vibration_index,operator_experience,humidity,shift_load,raw_material_score,sensor_drift,maintenance_gap_days,ambient_temp,weak_proxy,random_id_hash,machine_type,supplier_tier,shift,region,target
-1.4018,-0.56,0.3764,-2.207,5.2823,67.26,0.6488,-0.0713,0.2196,13.87,66.27,0.1751,5115,C,economy,swing,west,0
0.5001,-0.3889,,-2.0592,5.0146,78.15,-0.8742,-0.3438,-0.361,23.64,69.76,-1.0956,5488,C,standard,swing,east,0
-1.3224,-0.2686,-1.9456,-0.2372,5.1834,21.2,0.554,-2.7453,0.1677,28.3,68.46,0.3731,7180,B,standard,swing,east,0
-1.1809,0.541,,1.1523,6.2255,2.65,-2.4623,0.1947,-1.1705,38.29,71.92,-0.6069,9325,C,premium,day,north,0
0.095,0.7748,,-0.2045,4.1168,64.25,0.7473,-1.437,-1.1093,16.65,60.97,-0.4693,8253,A,premium,day,south,0
0.7736,-0.6635,0.4453,-0.1619,5.1021,91.84,-1.2963,-0.3746,-0.0609,6.58,65.21,0.6843,1052,D,economy,swing,north,0
-0.258,-0.3081,,-1.2147,3.001,65.0,1.5801,-0.7658,0.2759,33.9,61.5,-0.674,4934,B,premium,day,,1
-0.1041,-0.3523,0.8538,-2.1772,5.5809,67.12,0.4673,0.4271,0.8305,2.48,71.48,-1.4166,7662,C,standard,day,north,0
1.2808,1.3419,0.9682,2.5683,6.6019,26.05,-0.0191,-0.8516,-0.9984,24.89,73.49,1.8096,3622,D,standard,night,east,1
1.4441,1.6912,1.8701,0.7302,2.5008,26.19,0.1177,-0.9892,,15.23,61.63,0.0487,3545,B,economy,night,west,1
-0.6349,-2.1966,-0.931,-0.6159,1.3046,32.03,-1.6968,-0.0035,0.5737,20.92,90.85,0.3193,3063,D,economy,swing,west,0
0.6283,1.0045,-0.0151,2.0745,2.9107,68.73,-1.8095,0.5393,1.2145,6.39,69.65,0.4356,1545,C,standard,swing,west,1
0.2164,-0.7423,0.6311,-0.8036,8.1838,51.1,0.0931,0.4137,2.3003,20.55,87.2,-0.5085,8546,A,standard,night,south,0
-0.7162,-1.0867,-0.2026,-1.7962,3.6789,31.03,1.3892,-0.3698,,10.45,77.14,0.6254,7185,C,premium,day,west,0
1.3228,,0.3653,-0.3908,1.9666,,-2.8678,1.0419,1.688,11.36,59.63,-0.2964,7778,A,standard,night,south,1
0.4465,-1.5853,1.3821,0.1756,7.8623,60.32,-2.4661,-1.062,-0.5781,26.13,65.23,0.6999,4177,B,,swing,south,0
0.3131,,0.211,-0.2879,8.2738,26.24,-1.1621,1.1112,,25.52,74.87,0.8152,3237,B,standard,day,west,0
0.7919,,2.0505,-0.6257,2.6851,36.58,0.3108,0.4731,-0.16,10.7,58.15,0.6069,3657,C,premium,swing,south,0
-1.8578,1.6253,0.0233,-0.2479,2.3806,,1.0501,0.2238,-0.0852,17.45,59.99,0.485,2712,B,standard,swing,south,0
-1.5299,2.4958,1.1097,0.6871,9.7324,,1.9779,1.2036,-2.2109,9.86,54.86,1.2994,6811,C,,day,east,0
1.0598,-1.5092,1.6003,-1.206,8.6142,60.23,-0.3914,-2.9396,-0.2266,10.94,53.21,0.6488,3841,A,standard,day,east,1
-0.7552,1.3409,0.2608,0.1121,2.3993,82.72,0.7409,0.8783,-0.2206,20.72,57.06,1.6893,9371,C,economy,day,east,0
-0.2903,-1.5076,-0.1595,1.4134,8.7457,9.12,0.3183,-0.9944,,9.04,53.42,0.2327,5805,A,economy,swing,south,0
-1.0379,-0.3243,0.2366,1.0315,3.0278,32.34,1.4352,0.5562,-1.4835,10.29,72.4,-0.4386,4108,D,standard,swing,west,0
0.2876,0.9702,,0.1874,1.9464,,0.2158,1.0631,0.1506,10.6,52.57,1.6332,1658,C,standard,swing,west,0
-0.2351,0.0967,,1.7288,1.494,89.95,0.253,-0.1772,-0.235,14.52,63.52,-0.1473,5305,D,standard,swing,north,1
0.3584,-0.1438,-0.7037,-0.995,5.8086,65.45,-0.3332,-0.6368,0.5449,23.74,81.69,0.4447,1136,B,economy,swing,,0
0.0266,-1.4066,,-1.3893,7.4114,96.81,-0.8287,-0.9407,0.7825,22.26,64.41,-0.3716,9371,C,premium,night,north,0
-0.5504,,0.2997,-0.5558,3.8159,32.68,0.9111,-0.5164,0.6988,24.07,52.96,1.1017,2572,B,economy,day,north,0
-0.2221,-0.6772,0.6251,-0.5273,4.218,60.33,-2.3633,-1.002,-2.5922,19.17,87.75,2.7128,6148,A,standard,swing,west,0
-0.011,-1.4754,0.1224,-0.8416,5.4126,80.99,2.2354,0.6166,1.0906,12.09,56.86,-1.2483,2800,A,premium,day,south,0
-0.9326,-0.3076,0.0678,1.2753,5.2148,33.58,0.3459,2.0706,0.1633,16.01,51.76,-0.2165,5877,B,economy,swing,south,0
-1.9361,-1.8427,-0.145,-1.3599,,,0.2394,-0.262,,16.29,72.02,-0.6107,8893,A,economy,night,east,0
-0.0615,-1.0855,0.7649,-0.1068,1.8138,14.08,-0.0558,0.0147,-2.0956,5.88,63.61,-0.2656,9291,A,premium,swing,east,0
0.6913,-0.2192,1.1489,-1.1825,5.8761,67.0,-0.1525,0.5311,-1.355,38.87,72.03,0.785,5942,A,standard,swing,north,1
-0.3579,-1.1113,0.7112,-2.2705,7.1825,35.24,-0.8478,-0.6085,0.327,7.5,70.17,1.4692,5003,A,,day,west,0
-1.3221,0.193,0.9906,0.0128,7.0169,53.51,1.172,-1.6117,-0.9215,12.12,77.19,-0.0095,5834,B,standard,day,east,0
-2.3659,-2.3452,0.9712,-1.8534,3.9764,25.75,0.5243,-1.0215,-0.2764,43.27,90.21,0.5738,5772,C,standard,night,south,0
-0.1191,-1.0951,-1.0432,0.4999,3.5514,76.28,1.0467,-2.1068,-2.7583,38.21,70.43,-0.3572,6060,A,premium,day,east,0
0.3967,-0.2803,-0.1325,0.4428,1.3226,,1.4398,-1.7211,-0.9347,28.96,72.6,0.5502,1461,C,economy,day,east,1
0.5369,0.2701,-0.8821,1.0685,7.4182,28.2,0.1831,0.6024,-0.3178,32.16,69.49,-1.194,5066,A,standard,swing,west,0
0.8584,,-0.7503,0.6105,5.9714,62.96,0.8918,0.0121,0.922,24.95,68.06,-0.8447,4178,C,standard,day,west,1
-0.7218,0.0344,0.5945,-0.1695,3.3207,76.33,0.0464,0.1167,-0.3564,8.8,59.58,-0.8858,1227,C,economy,day,south,0
-0.3903,-3.167,,0.0844,4.4387,52.45,-0.0277,0.1296,0.7306,57.12,65.37,-1.2251,8547,A,premium,day,north,0
1.4219,-1.4712,,-0.5037,5.1527,80.88,-1.1634,-0.8379,1.4797,36.07,73.67,-0.3015,9313,A,standard,swing,east,1
-0.0068,1.422,,-0.766,1.4833,53.23,0.7598,1.2101,-0.3862,63.05,48.8,-0.3964,8098,B,standard,day,east,0
0.1478,1.6772,-1.0627,0.586,2.8416,43.64,2.5547,0.2637,0.2706,12.16,66.63,-0.331,4111,A,premium,swing,north,1
-0.242,0.8983,-0.4665,-0.122,8.8382,58.56,0.756,-0.1257,-0.0144,17.64,62.27,-1.2224,4374,D,standard,swing,east,0
-1.1477,-0.5726,0.6743,-0.7777,1.9959,30.78,0.8109,-0.2592,-0.0362,29.26,77.2,1.0556,3031,A,standard,day,south,0
0.6193,-2.4821,-0.4551,1.5531,4.2142,20.52,-0.7754,0.3182,-0.5401,26.06,82.8,-0.0201,4304,C,premium,night,north,1
1.9342,1.7296,0.2644,-0.5182,2.5201,51.32,1.5071,1.7661,1.5428,26.71,59.51,-0.103,4982,B,premium,swing,,0
0.6635,-1.4369,0.0639,-1.4169,3.9692,26.63,-0.0478,-0.6326,0.2493,43.93,66.46,0.7069,7457,D,economy,day,west,0
0.7879,0.5316,1.3438,-1.6715,0.5816,20.74,-0.6732,0.5114,0.5356,13.6,76.64,-1.562,5699,D,standard,night,north,1
-0.1829,-0.6135,1.3204,0.887,8.455,59.01,0.0957,0.3009,-0.5304,6.56,79.73,0.195,9052,D,premium,night,west,0
1.1419,-0.6148,-2.7074,-0.0552,8.8003,64.98,-1.2497,1.2791,,19.68,71.7,0.8138,7159,C,standard,day,south,1
2.1263,-1.7218,-0.5467,1.3817,1.1375,64.6,-2.5802,-1.4706,0.5826,18.49,69.42,-0.7853,4474,D,economy,day,south,1
1.2487,1.1611,0.5703,-1.5676,8.9645,46.11,0.7019,-0.7545,-0.0294,7.85,65.66,-1.0317,9726,C,standard,night,south,1
-1.6731,0.5566,0.815,-0.743,5.9591,55.15,1.8358,1.885,-1.6147,26.29,69.93,-1.2009,4611,A,,swing,west,0
-1.0588,0.4942,-0.6008,0.842,6.2588,89.07,0.9967,-0.2534,-0.789,6.13,61.32,-0.2242,7865,B,standard,day,north,1
0.3896,0.5973,0.5157,-0.3407,3.8872,58.23,-0.1946,0.2272,-0.6847,25.22,71.77,-0.4595,9100,D,premium,day,west,0
-1.2949,0.39,-1.0286,-0.4459,9.1318,94.38,-0.7381,1.2532,-0.6716,10.63,74.29,1.0754,7358,C,economy,day,east,1
-0.9851,-0.416,-0.585,2.5496,1.1503,58.94,0.5761,0.3254,0.0915,35.43,81.4,-0.9159,1415,A,premium,day,east,0
-1.4243,1.5652,0.4733,-0.0413,0.6519,68.26,0.3562,-0.8314,,13.84,60.68,0.246,8325,B,economy,day,west,0
1.778,-0.6478,0.0193,-0.7544,2.2758,64.01,2.3812,0.3849,,22.82,73.01,-0.1122,7264,A,standard,swing,west,0
-1.7546,0.5517,-0.9953,0.0121,6.5521,68.93,0.2472,-1.7736,-0.7659,21.67,73.13,-0.5464,1130,B,premium,night,south,0
-0.5607,-0.6772,-0.6663,-2.5028,6.7241,29.4,0.3055,0.0364,-0.3784,13.06,66.97,-0.4533,8347,B,standard,day,north,0
-1.6978,-1.0587,-0.2213,-0.5342,9.3865,52.66,-0.3894,0.0337,-1.0166,4.89,54.03,1.9173,9266,B,economy,night,south,0
0.0341,0.4269,-0.865,-1.1161,9.5952,90.12,1.3431,1.9069,-1.112,48.58,69.54,-1.0514,4459,D,economy,night,south,1
-0.4191,-1.9249,0.2277,-1.8793,3.4445,47.82,1.253,-0.6091,-1.2723,35.6,64.51,0.7717,4396,A,economy,day,east,0
-0.9429,0.7104,-0.7942,-1.2761,3.1561,61.26,0.8138,-0.8079,-0.2704,4.02,67.05,0.6179,1257,C,,day,,0
